minusLOG10p-value(GFP vs WT),Difference(GFP vs WT),Gene names
0.929092754,0.456864675,CLPTM1
4.764864066,3.885669072,TOMM40
2.056439524,-0.672121684,PEX11B
4.493491801,-1.338022232,PAK4
2.024757443,-0.825773875,CYB5A
1.086168648,-0.279363632,LDHA
2.083865637,0.574502309,GLUD1
0.892564527,-0.17411232,CYB5R3
1.04166032,0.601987203,GSR
1.194442287,-0.537554423,MT-CO2
0.488913026,-0.287709554,GOT2
0.961208925,-1.100688299,PGK1
1.469394296,-0.847442627,NRAS
1.872961919,-1.09944725,KRAS
0.006929466,0.005442301,HLA-B
4.32134208,2.02558136,LMNA
0.053411505,0.018957774,TFRC
2.397527443,-0.682928085,MT-ATP8
0.454658707,-0.249169032,ALDOA
1.056075438,0.455884298,APOB
1.223014923,0.383740107,OAT
0.069382655,0.049968719,GAPDH
1.941454342,-0.557072957,HLA-A
1.671302697,-0.635618846,TP53
3.039418409,-0.836083094,RPN1
0.124070545,-0.039110819,RPN2
3.231923441,-0.632347107,GNAI2
1.986253153,-0.341538111,ATP1A1
0.041589208,-0.126163483,ARG1
0.379263452,-0.145282745,ALDH2
0.454654286,0.057929993,SLC25A5
0.806475857,-0.248402278,EIF2S1
1.558493255,1.085482279,HMGN2
0.601878491,0.864814758,RPLP1
1.813416838,0.472562154,RPLP2
1.004567151,0.248957316,RPLP0
1.212277271,-0.451076508,ITGB1
1.729865637,-0.614407221,KRT18
2.764450975,0.322680155,MYL3
0.418563692,-0.247208913,GLA
0.3881577,0.075604757,CDK1
1.224826188,-0.157221476,ATP5B
0.629603488,-0.164213181,ENO1
1.012458868,-0.130072912,NPM1
2.694128335,-0.759806315,TPM3
3.441399955,2.947172801,HIST1H2BJ
0.192074858,-0.16778183,EPHX1
1.117583507,-0.241950353,LDHB
0.532407545,-0.190340678,P4HB
0.822153943,0.941929499,CTSD
0.15964855,0.046689987,ANXA2
1.220543749,-0.174628576,TUBB
0.076740057,0.108917236,PFN1
2.681590696,-0.598775864,EPRS
0.527958902,-0.224455516,HSP90AA1
